first_name,last_name,birth_date,weight_category,sex,cf,team,max_mu,max_pu,max_dip,max_sq
Ivan,Necerini,2008-10-01,-87M,M,NCRVNI01T03D612W,CaliFlorence,15,60,90,160
Fabio,Veroli,2001-04-26,-101M,M,VRLFBA01D26E289W,IronChurch,5,60,80,180
Marco,Rossi,1995-03-15,-80M,M,RSSMRC95C15H501Z,StreetWarriors,12,55,85,150
Luca,Bianchi,2000-07-22,-73M,M,BNCLCU00L22F205X,CaliFlorence,10,50,75,140
Alessandro,Ferrari,1998-11-08,-87M,M,FRRLSN98S08L219Y,IronChurch,14,58,88,165
Matteo,Romano,2002-01-30,-66M,M,RMNMTT02A30D612Q,UrbanAthletes,8,45,70,120
Giovanni,Esposito,1997-05-18,-94M,M,SPSGNN97E18F839R,StreetWarriors,16,62,95,175
Francesco,Colombo,2003-09-12,-59M,M,CLMFNC03P12L219S,FlexGym,6,40,65,110
Andrea,Ricci,1999-12-05,-80M,M,RCCNDR99T05H501T,CaliFlorence,13,56,86,155
Paolo,Marino,2001-08-27,-101M,M,MRNPLA01M27F205U,BarBrothers,18,65,98,185
Simone,Greco,1996-04-14,-87M,M,GRCSMN96D14L219V,IronChurch,15,59,89,168
Davide,Bruno,2004-02-20,-73M,M,BRNDVD04B20F839W,UrbanAthletes,9,48,72,135
Lorenzo,Gallo,2000-10-03,-66M,M,GLLLNZ00R03H501X,StreetWarriors,7,44,68,125
Riccardo,Conti,1998-06-25,-94M,M,CNTRCD98H25F205Y,CaliFlorence,17,63,96,180
Gabriele,De Luca,2002-03-11,-80M,M,DLCGRL02C11L219Z,FlexGym,11,54,83,152
Michele,Costa,1997-11-29,-87M,M,CSTMHL97S29F839A,IronChurch,14,57,87,162
Roberto,Mancini,2005-07-15,-59M,M,MNCRBR05L15H501B,BarBrothers,5,38,62,105
Antonio,Ferri,1999-01-08,-101M,M,FRRNTN99A08F205C,StreetWarriors,19,66,99,188
Stefano,Barbieri,2001-09-22,-73M,M,BRBSFN01P22L219D,CaliFlorence,10,49,74,138
Daniele,Martini,1996-05-04,-80M,M,MRTDNL96E04F839E,UrbanAthletes,12,55,84,154
Emanuele,Lombardi,2003-12-18,-66M,M,LMBMNL03T18H501F,IronChurch,8,46,71,128
Filippo,Moretti,2000-08-30,-94M,M,MRTFLP00M30F205G,FlexGym,16,61,94,177
Giuseppe,Fontana,1998-02-14,-87M,M,FNTGPP98B14L219H,BarBrothers,15,58,88,166
Tommaso,Santoro,2002-10-26,-59M,M,SNTMMS02R26F839I,StreetWarriors,6,41,66,112
Federico,Caruso,1997-06-09,-101M,M,CRSFRC97H09H501J,CaliFlorence,18,64,97,183
Nicola,Ferrara,2004-01-23,-73M,M,FRRNCL04A23F205K,IronChurch,9,47,73,136
